"CANCION","GRUPO/ARTISTA","GENERO","PUNTUACION","IMPACTO SOCIAL","TIPO DE IMPACTO","DESCRIPCION","AÑO"
"TOO LATE","BLACK SUGAR - BLACK SUGAR","FUNK/SOUL","908","1","POLITICO","D_1","1971"
"VIAJECITO","BLACK SUGAR - BLACK SUGAR","FUNK/SOUL","966","4","AMBIENTAL","D_2","1971"
"THE LOOSER","BLACK SUGAR - BLACK SUGAR","FUNK/SOUL","966","4","RELIGION","D_3","1971"
"THIS TIME","BLACK SUGAR - BLACK SUGAR","FUNK/SOUL","966","7","ECONOMICO","D_4","1971"
"FUNKY MAN","BLACK SUGAR - BLACK SUGAR","FUNK/SOUL","966","6","RELIGION","D_5","1971"
"UNDERSTANDING","BLACK SUGAR - BLACK SUGAR","FUNK/SOUL","966","5","RELIGION","D_6","1971"
"WHEN YOU'RE WALKING","BLACK SUGAR - BLACK SUGAR","FUNK/SOUL","966","8","CULTURAL","D_7","1971"
"WHEN I NEEDED SOMEONE","BLACK SUGAR - BLACK SUGAR","FUNK/SOUL","966","7","RELIGION","D_8","1971"
"PUSSY CAT","BLACK SUGAR - BLACK SUGAR","FUNK/SOUL","966","5","RELIGION","D_9","1971"
"FUEGO","BLACK SUGAR - BLACK SUGAR II","FUNK/SOUL","878","9","AMBIENTAL","D_10","1974"
"VALDEZ IN THE COUNTRY","BLACK SUGAR - BLACK SUGAR II","FUNK/SOUL","878","6","AMBIENTAL","D_11","1974"
"DON'T YOU WORRY ABOUT A THING","BLACK SUGAR - BLACK SUGAR II","FUNK/SOUL","878","3","AMBIENTAL","D_12","1974"
"THE DAWN OF MY MADNESS","BLACK SUGAR - BLACK SUGAR II","FUNK/SOUL","878","9","SOCIAL","D_13","1974"
"I WANT TO BELIEVE","BLACK SUGAR - BLACK SUGAR II","FUNK/SOUL","878","10","SOCIAL","D_14","1974"
"CHECAN","BLACK SUGAR - BLACK SUGAR II","FUNK/SOUL","878","8","AMBIENTAL","D_15","1974"
"KATHY","BLACK SUGAR - BLACK SUGAR II","FUNK/SOUL","878","5","SOCIAL","D_16","1974"
